TAIL_NUMBER,AVG_DELAY,PROPAGATION_COUNT,TOTAL_FLIGHTS
N849MQ,16.71794871794872,44,234
N228JB,13.909395973154362,44,298
N465SW,3.5894495412844036,44,436
N7812G,9.525862068965518,43,348
N592JB,24.5,43,214
N928MQ,10.811209439528023,43,339
N552WN,11.235649546827794,43,331
N276WN,11.3375,43,320
N371CA,17.299610894941633,43,257
N883AS,16.020057306590257,43,349
N437WN,9.660112359550562,43,356
N924WN,13.031358885017422,43,287
N747SA,11.207492795389049,43,347
N284JB,20.85763888888889,43,288
N390SW,16.846153846153847,43,208
N748EV,14.86241610738255,43,298
N388SW,9.300813008130081,43,369
N289CT,12.43048128342246,43,374
N286WN,10.433908045977011,43,348
N935WN,10.221902017291066,43,347
N459SW,14.804635761589404,43,302
N939MQ,11.412087912087912,43,364
N7711N,10.839779005524862,43,362
N7718B,13.937321937321938,43,351
N455WN,11.317679558011049,43,362
N789SW,10.270194986072424,43,359
N506NK,13.64375,43,320
N852AS,11.54131054131054,43,351
N614SW,11.127272727272727,43,385
N919AT,21.996575342465754,43,292
N360SW,24.159420289855074,43,138
N955WN,11.122015915119363,43,377
N705SK,13.516949152542374,43,236
N486HA,1.4399460188933872,43,741
N7741C,13.217712177121772,43,271
N358JB,18.88449848024316,43,329
N473AA,17.381165919282513,43,223
N417WN,10.18010752688172,43,372
N941MQ,14.164874551971327,43,279
N815MQ,18.33467741935484,43,248
N328JB,12.895424836601308,43,306
N449WN,9.24207492795389,43,347
N909WN,9.01063829787234,43,376
N237WN,8.947521865889213,43,343
N319NB,17.406130268199234,43,261
N650SW,8.233870967741936,43,372
N531NK,18.77319587628866,43,291
N858AS,14.662576687116564,43,326
N396SW,10.30232558139535,43,344
N405WN,12.62707182320442,42,362
N813MQ,31.437956204379564,42,137
N465WN,10.498630136986302,42,365
N740EV,17.194719471947195,42,303
N533NK,11.182432432432432,42,296
N800SK,21.392156862745097,42,306
N13914,13.020066889632107,42,299
N408WN,10.151685393258427,42,356
N759GS,9.035911602209945,42,362
N586SW,12.988372093023257,42,344
N368JB,13.829032258064515,42,310
N287WN,8.618666666666666,42,375
N914WN,9.62037037037037,42,324
N804JB,15.266968325791856,42,221
N797SK,18.233463035019454,42,257
N579SW,11.032640949554896,42,337
N7726A,9.215258855585832,42,367
N924EV,21.641414141414142,42,198
N786SW,9.96816976127321,42,377
N791SK,11.792,42,250
N460WN,10.002967359050444,42,337
N507CA,9.726256983240223,42,358
N922FR,11.46788990825688,42,327
N438WN,12.811764705882354,42,340
N559WN,8.185792349726777,42,366
N29917,11.333333333333334,42,327
N663SW,9.720430107526882,42,372
N246LV,7.690140845070423,42,355
N949WN,9.255131964809385,42,341
N255WN,12.107329842931938,42,382
N610WN,9.164893617021276,42,376
N961UW,9.952830188679245,42,318
N630NK,14.887788778877887,42,303
N857AS,9.34959349593496,42,369
N197JB,12.057057057057056,42,333
N615QX,15.853146853146853,42,286
N208WN,11.426997245179063,42,363
N613MQ,11.837579617834395,42,314
N626SW,9.63611859838275,42,371
N708EV,21.020833333333332,42,288
N648SW,8.227848101265822,42,395
N958UW,9.115819209039548,42,354
N854AS,9.040229885057471,42,348
N260WN,9.860724233983287,42,359
N632SW,8.981081081081081,42,370
N658JB,21.986175115207374,42,217
N238JB,8.301538461538462,42,325
N210FR,32.586666666666666,42,225
N961SW,10.803030303030303,42,330
N836MQ,17.410714285714285,42,224
N866AS,6.514522821576763,41,482
N917SW,17.084615384615386,41,260
N644JB,18.27705627705628,41,231
N913WN,11.118110236220472,41,381
N263WN,8.414285714285715,41,350
N913SW,11.55287009063444,41,331
N958SW,10.585915492957746,41,355
N480HA,1.0776978417266188,41,695
N432SW,12.885542168674698,41,332
N431WN,11.18361581920904,41,354
N752EV,20.705298013245034,41,302
N424WN,10.188202247191011,41,356
N420WN,10.626062322946176,41,353
N630WN,9.274238227146814,41,361
N241WN,8.804878048780488,41,369
N756SK,23.51794871794872,41,195
N414WN,11.241847826086957,41,368
N608NK,13.370503597122303,41,278
N617SW,9.472222222222221,41,288
N7722B,8.288461538461538,41,364
N254WN,9.27808988764045,41,356
N438AA,18.078048780487805,41,205
N436WN,12.046511627906977,41,344
N16559,9.096491228070175,41,342
N122SY,24.193548387096776,41,217
N218FR,30.391959798994975,41,199
N470WN,10.894736842105264,41,342
N927DA,12.41875,41,320
N498WN,12.227436823104693,41,277
N645MQ,8.667597765363128,41,358
N772SK,15.708860759493671,41,237
N623SW,10.127272727272727,41,385
N873AS,9.709756097560975,41,410
N713EV,20.35272727272727,41,275
N653SW,9.673854447439354,41,371
N8616C,14.554794520547945,41,292
N495CA,13.653429602888087,41,277
N375SW,9.743732590529248,41,359
N764SW,9.786743515850144,41,347
N768SK,13.353790613718411,41,277
N616SW,7.167567567567567,41,370
N621NK,15.42687747035573,41,253
N763SW,9.814606741573034,41,356
N16961,13.131578947368421,41,304
N919WN,10.571014492753623,41,345
N118SY,27.066350710900473,41,211
N527NK,15.824742268041238,40,291
N755SA,9.055072463768116,40,345
N727SK,15.305147058823529,40,272
N243WN,8.683195592286502,40,363
N479WN,10.8023598820059,40,339
N534NK,19.272131147540982,40,305
N703SW,10.223463687150838,40,358
N12996,10.00952380952381,40,315
N607SW,9.866906474820144,40,278
N765SW,13.46078431372549,40,306
N363SW,8.153061224489797,40,392
N7745A,11.926553672316384,40,354
N620SW,10.713498622589531,40,363
N24103,14.516129032258064,40,279
N442WN,10.612637362637363,40,364
N239WN,13.134969325153374,40,326
N723SW,13.162162162162161,40,333
N535JB,18.76243093922652,40,181
N614NK,12.327402135231317,40,281
N467WN,8.045698924731182,40,372
N227WN,8.099447513812155,40,362
N7732A,9.576502732240437,40,366
N17560,14.964912280701755,40,285
N929WN,10.075916230366492,40,382
N26545,10.963963963963964,40,333
N7730A,10.025495750708215,40,353
N713SK,24.824742268041238,40,194
N923WN,9.096256684491978,40,374
N220WN,7.827027027027027,40,370
N947WN,9.162162162162161,40,370
N508NK,10.99375,40,320
N594JB,17.952173913043477,40,230
N878AS,9.713930348258707,40,402
N386SW,8.322493224932249,40,369
N712JB,21.427835051546392,40,194
N926WN,8.471849865951743,40,373
N737JW,11.364161849710984,40,346
N787SK,21.71502590673575,40,193
N281WN,7.988472622478386,40,347
N716SK,16.575875486381324,40,257
N637JB,19.391509433962263,40,212
N781WN,8.680232558139535,40,344
